Location
"Kabul,Kabul,Afghanistan"
"Westwood,Lassen County,California,United States"
"Willows,Glenn County,California,United States"
"Agate,Colorado,United States"
"Amston,Connecticut,United States"
"Washington,District of Columbia,United States"
"Bear,Delaware,United States"
"Alachua,Florida,United States"
"Crystal Springs,Pasco County,Florida,United States"
"Edgewater,Volusia County,Florida,United States"
"Lake Butler,Union County,Florida,United States"
"Abbeville,Georgia,United States"
"Aiea,Hawaii,United States"
"Ackley,Iowa,United States"
"Aberdeen,Idaho,United States"
"Addieville,Illinois,United States"
"Akron,Indiana,United States"
"Abilene,Kansas,United States"
"Albany,Kentucky,United States"
"Abbeville,Louisiana,United States"
"Abington,Massachusetts,United States"
"Bellingham,Bellingham,Massachusetts,United States"
"Brewster,Brewster,Massachusetts,United States"
"Northfield,Northfield,Massachusetts,United States"
"Rowley,Rowley,Massachusetts,United States"
"Sandwich,Sandwich,Massachusetts,United States"
"Walpole,Walpole,Massachusetts,United States"
"Wilbraham,Wilbraham,Massachusetts,United States"
"Aberdeen,Maryland,United States"
"Acton,Maine,United States"
"Ada Township,Michigan,United States"
"University Center,Bay County,Michigan,United States"
"Ada,Minnesota,United States"
"Adrian,Missouri,United States"
"Aberdeen,Mississippi,United States"
"Mississippi State University,Oktibbeha,Mississippi,United States"
"University of Mississippi,Lafayette County,Mississippi,United States"
"Absarokee,Montana,United States"
"Aberdeen,North Carolina,United States"
"King,Stokes County,North Carolina,United States"
"Abercrombie,North Dakota,United States"
"Ainsworth,Nebraska,United States"
"Alstead,New Hampshire,United States"
"Littleton,Littleton,New Hampshire,United States"
"Plymouth,Plymouth,New Hampshire,United States"
"Absecon,New Jersey,United States"
"Franklin,Sussex County,New Jersey,United States"
"Alamogordo,New Mexico,United States"
"Amargosa Valley,Nevada,United States"
"Accord,New York,United States"
"Avon,Livingston County,New York,United States"
"Hilton,Monroe County,New York,United States"
"Inwood,Nassau County,New York,United States"
"Irving,Chautauqua County,New York,United States"
"Tuckahoe,Westchester County,New York,United States"
"Warsaw,Wyoming County,New York,United States"
"Yorkville,Oneida County,New York,United States"
"Ada,Ohio,United States"
"Bainbridge,Ross County,Ohio,United States"
"Liberty Center,Henry County,Ohio,United States"
"Oakwood,Paulding County,Ohio,United States"
"Ada,Oklahoma,United States"
"Adams,Oregon,United States"
"Aaronsburg,Pennsylvania,United States"
"Centre Hall,Centre County,Pennsylvania,United States"
"Clarion,Clarion County,Pennsylvania,United States"
"Cranberry Township,Venango County,Pennsylvania,United States"
"Cranberry Township,Butler County,Pennsylvania,United States"
"Middletown,Dauphin County,Pennsylvania,United States"
"Ashaway,Rhode Island,United States"
"Abbeville,South Carolina,United States"
"Aberdeen,South Dakota,United States"
"Adamsville,Tennessee,United States"
"Abernathy,Texas,United States"
"Meridian,Bosque County,Texas,United States"
"Orange Grove,Jim Wells County,Texas,United States"
"Taylor,Williamson County,Texas,United States"
"Alpine,Utah,United States"
"Abingdon,Virginia,United States"
"Albany,Vermont,United States"
"Arlington,Bennington,Vermont,United States"
"Cabot,Cabot,Vermont,United States"
"Middlebury,Middlebury,Vermont,United States"
"Aberdeen,Washington,United States"
"Lakewood,Pierce,Washington,United States"
"Newport,Pend Oreille County,Washington,United States"
"Lakewood,Snohomish,Washington,United States"
"Abbotsford,Wisconsin,United States"
"Alderson,West Virginia,United States"
"Afton,Wyoming,United States"
"Tashkent,Tashkent Region,Uzbekistan"
"Kingstown,St. George,Saint Vincent and the Grenadines"
"Caracas,Capital District,Venezuela"
"Anaco,Anzoategui,Venezuela"
"San Fernando de Apure,Apure,Venezuela"
"Cagua,Aragua,Venezuela"
"Barinas,Barinas,Venezuela"
"Bejuma,Carabobo,Venezuela"
"Coro,Falcon,Venezuela"
"Calabozo,Guarico,Venezuela"
"Barquisimeto,Lara,Venezuela"
"El Vigia,Merida,Venezuela"
"Los Teques,Miranda,Venezuela"
"Maturin,Monagas,Venezuela"
"Porlamar,Nueva Esparta,Venezuela"
"Acarigua,Portuguesa,Venezuela"
"Carupano,Sucre,Venezuela"
"San Cristobal,Tachira,Venezuela"
"Valera,Trujillo,Venezuela"
"San Felipe,Yaracuy,Venezuela"
"Cabimas,Zulia,Venezuela"
"Road Town,British Virgin Islands"
"Charlotte Amalie,St. Thomas,U.S. Virgin Islands"
"Cruz Bay,St. John,U.S. Virgin Islands"
"Hanoi,Hanoi,Vietnam"
"Ho Chi Minh City,Ho Chi Minh City,Vietnam"
"Port Vila,Vanuatu"
"Apia,Samoa"
"Sana'a,Capital Municipality,Yemen"
"Bar,Bar Municipality,Montenegro"
"Budva,Budva Municipality,Montenegro"
"Herceg Novi,Herceg Novi Municipality,Montenegro"
"Podgorica,Podgorica Municipality,Montenegro"
"Ulcinj,Ulcinj Municipality,Montenegro"
"Pristina,Pristina District,Kosovo"
"Belgrade,Serbia"
"Alice,Eastern Cape,South Africa"
"Bloemfontein,Free State,South Africa"
"Alberton,Gauteng,South Africa"
"Brits,North West,South Africa"
"Ermelo,Mpumalanga,South Africa"
"Hadison Park,Northern Cape,South Africa"
"Durban,KwaZulu-Natal,South Africa"
"Louis Trichardt,Limpopo,South Africa"
"Bellville,Western Cape,South Africa"
"Kitwe,Copperbelt Province,Zambia"
"Lusaka,Lusaka Province,Zambia"
"Bulawayo,Bulawayo Province,Zimbabwe"
"Gweru,Midlands Province,Zimbabwe"
"Harare,Harare Province,Zimbabwe"
"Masvingo,Masvingo Province,Zimbabwe"
"San Luis,San Luis Province,Argentina"
"Fehring,Styria,Austria"
"La Romana,La Romana Province,Dominican Republic"
"Hargeisa,Woqooyi Galbeed,Somalia"
"Delchevo,Municipality of Delcevo,North Macedonia"
"Zalau,Salaj,Romania"
"Haiphong,Haiphong,Vietnam"
"Quang Ngai,Quang Ngai,Vietnam"
"Vung Tau,Ba Ria - Vung Tau,Vietnam"
"Nha Trang,Khanh Hoa Province,Vietnam"
"Da Nang,Da Nang,Vietnam"
"Gillam,Manitoba,Canada"
"Bjelovar,Bjelovar-Bilogora County,Croatia"
"Karlovac,Karlovac County,Croatia"
"Pozega,Pozega-Slavonia County,Croatia"
"Pula,Istria County,Croatia"
"Sibenik,Sibenik-Knin County,Croatia"
"Sisak,Sisak-Moslavina County,Croatia"
"Slavonski Brod,Brod-Posavina County,Croatia"
"Varazdin,Varazdin County,Croatia"
"Al Bahah,Al Bahah Province,Saudi Arabia"
"Arar,Northern Borders Province,Saudi Arabia"
"Medina,Al Madinah Province,Saudi Arabia"
"Buraydah,Al Qassim,Saudi Arabia"
"Hail,Hail Province,Saudi Arabia"
"Abha,Aseer Province,Saudi Arabia"
"Tabuk,Tabuk Province,Saudi Arabia"
"Najran,Najran,Saudi Arabia"
"Jazan,Jazan,Saudi Arabia"
"Rafah,North Sinai Governorate,Egypt"
"Ismailia,Ismailia Governorate,Egypt"
"Minya,Menia Governorate,Egypt"
"Banha,Al Qalyubia Governorate,Egypt"
"Kharga,New Valley Governorate,Egypt"
"Beni Suef,Beni Suef Governorate,Egypt"
"Sharm El-Sheikh,South Sinai Governorate,Egypt"
"Desouk,Kafr El Sheikh Governorate,Egypt"
"Marsa Matruh,Matrouh Governorate,Egypt"
"Qena,Qena Governorate,Egypt"
"Cradle of Humankind,South Africa"
"Abrego,North Santander,Colombia"
"Aguachica,Cesar,Colombia"
"Aguazul,Casanare,Colombia"
"Arauca,Arauca,Colombia"
"Armenia,Quindio,Colombia"
"Ayapel,Cordoba,Colombia"
"Barrancas,La Guajira,Colombia"
"Chaparral,Tolima,Colombia"
"Duitama,Boyaca,Colombia"
"El Doncello,Caqueta,Colombia"
"Leticia,Amazonas,Colombia"
"Quibdo,Choco,Colombia"
"Azilal,Beni Mellal-Khenifra,Morocco"
"Errachidia,Draa-Tafilalet,Morocco"
"Safi,Marrakesh-Safi,Morocco"
"Sidi Ifni,Guelmim-Oued Noun,Morocco"
"Putrajaya,Putrajaya,Malaysia"
"University of Science, Malaysia,Penang,Malaysia"
"Aba,Abia,Nigeria"
"Abaji,Nasarawa,Nigeria"
"Abak,Akwa Ibom,Nigeria"
"Abakaliki,Ebonyi,Nigeria"
"Agulu,Anambra,Nigeria"
"Anka,Zamfara,Nigeria"
"Argungu,Kebbi,Nigeria"
"Azare,Bauchi,Nigeria"
"Babana,Niger,Nigeria"
"Doro Gowon,Borno,Nigeria"
"Bakori,Katsina,Nigeria"
"Bali,Taraba,Nigeria"
"Bara,Gombe,Nigeria"
"Birnin Kudu,Jigawa,Nigeria"
"Brass,Bayelsa,Nigeria"
"Damaturu,Yobe,Nigeria"
"Ganye,Adamawa,Nigeria"
"Gboko,Benue,Nigeria"
"Gbongan,Osun,Nigeria"
"Igbara Odo,Ekiti,Nigeria"
"Ijebu Igbo,Ogun State,Nigeria"
"Alta,Alta,Troms og Finnmark fylke,Norway"
"Bykle,Bykle Municipality,Norway"
"Bo,Bo,Telemark,Norway"
"Eidsberg,Eidsberg,Ostfold,Norway"
"Enebakk,Enebakk,Akershus,Norway"
"Evje,Evje og Hornnes Municipality,Norway"
"Gjerstad,Gjerstad Municipality,Norway"
"Halsa,Halsa,More og Romsdal,Norway"
"Karmoy,Karmoy,Rogaland,Norway"
"Leirfjord,Leirfjord,Nordland,Norway"
"Ringsaker,Ringsaker,Innlandet,Norway"
"Strand,Strand,Rogaland,Norway"
"Surnadal,Surnadal,More og Romsdal,Norway"
"Valle,Valle Municipality,Norway"
"Vestnes,Vestnes,More og Romsdal,Norway"
"Motueka,Tasman,New Zealand"
"Bashtanka,Mykolaiv Oblast,Ukraine"
"Berezne,Rivne Oblast,Ukraine"
"Mykolaiv,Mykolaivs'kyi district,L'vivs'ka,Ukraine"
"Altdorf,Uri,Switzerland"
"Walzenhausen,Appenzell Ausserrhoden,Switzerland"
"Ampflwang im Hausruckwald,Upper Austria,Austria"
"Bad Kleinkirchheim,Carinthia,Austria"
"Bad Voslau,Lower Austria,Austria"
"Buch,Tyrol,Austria"
"Flachau,Salzburg,Austria"
"Arcelia,Arcelia,Guerrero,Mexico"
"Tenancingo,Mexico,Mexico"
"Abreu e Lima,State of Pernambuco,Brazil"
"Alagoa Grande,State of Paraiba,Brazil"
"Alegrete,State of Rio Grande do Sul,Brazil"
"Almirante Tamandare,State of Parana,Brazil"
"Angra dos Reis,State of Rio de Janeiro,Brazil"
"Araquari,State of Santa Catarina,Brazil"
"Ariquemes,State of Rondonia,Brazil"
"Boa Vista,State of Roraima,Brazil"
"Ceara-Mirim,State of Rio Grande do Norte,Brazil"
"Estancia,State of Sergipe,Brazil"
"Parnaiba,State of Piaui,Brazil"
"Salta Province,Argentina"
"Australian Capital Territory,Australia"
"Burgenland,Austria"
"Brussels,Belgium"
"Republika Srpska,Bosnia and Herzegovina"
"Cochabamba Department,Bolivia"
"State of Alagoas,Brazil"
"Alberta,Canada"
"Antofagasta,Chile"
"Beijing,China"
"Antioquia,Colombia"
"Limassol,Cyprus"
"South Bohemian Region,Czechia"
"Berlin,Germany"
"Capital Region of Denmark,Denmark"
"Azuay,Ecuador"
"Province of Alicante,Valencia,Spain"
"Andalusia,Spain"
"England,United Kingdom"
"Euboea,Decentralized Administration of Thessaly and Central Greece,Greece"
"Chania,Decentralized Administration of Crete,Greece"
"Zagreb County,Croatia"
"Baranya,Hungary"
"Bali,Indonesia"
"Andaman and Nicobar Islands,India"
"County Clare,Ireland"
"Galway,County Galway,Ireland"
"Limerick,County Limerick,Ireland"
"South District,Israel"
"Hokkaido,Japan"
"Aguascalientes,Mexico"
"Perak,Malaysia"
"Ancash,Peru"
"Maguindanao,Autonomous Region in Muslim Mindanao,Philippines"
"Metro Manila,Philippines"
"Lower Silesian Voivodeship,Poland"
"Aveiro District,Portugal"
"Arges County,Romania"
"Altai Republic,Russia"
"Riyadh Province,Saudi Arabia"
"Stockholm County,Sweden"
"Bangkok,Thailand"
"Adana,Turkey"
"Vinnytsia Oblast,Ukraine"
"Alaska,United States"
"Capital District,Venezuela"
"Ngazidja,Comoros"
"Seoul,South Korea"
"Dakahlia Governorate,Egypt"
"Abia,Nigeria"
"Saint Helena, Ascension and Tristan da Cunha"
"A0A,Newfoundland and Labrador,Canada"
"Sandanski,Blagoevgrad Province,Bulgaria"
"Kyustendil Province,Bulgaria"
"Samokov,Sofia Province,Bulgaria"
"Velingrad,Pazardzhik,Bulgaria"
"Asenovgrad,Plovdiv Province,Bulgaria"
"Shumen,Shumen Province,Bulgaria"
"Aytos,Burgas,Bulgaria"
"Nova Zagora,Sliven Province,Bulgaria"
"Gorna Oryahovitsa,Veliko Tarnovo Province,Bulgaria"
"Knezha,Pleven Province,Bulgaria"
"Kozloduy,Vraca,Bulgaria"
"Popovo,Targovishte Province,Bulgaria"
"Isperih,Razgrad,Bulgaria"
"Dulovo,Silistra,Bulgaria"
"Lom,Montana Province,Bulgaria"
"Roscommon,County Roscommon,Ireland"
"Longford,County Longford,Ireland"
"Imphal,Manipur,India"
"Shimla,Himachal Pradesh,India"
"Margao,Goa,India"
"Jincheng Township,Fujian Province,Taiwan"
"Kien Giang,Vietnam"
"Cao Lanh,Djong Thap Province,Vietnam"
"Long Xuyen,An Giang Province,Vietnam"
"My Tho,Tien Giang,Vietnam"
"Thai Nguyen,Thai Nguyen,Vietnam"
"Hai Duong,Hai Duong,Vietnam"
"Nam Djinh,Nam Dinh,Vietnam"
"Thai Binh,Thai Binh,Vietnam"
"Ninh Binh,Ninh Binh Province,Vietnam"
"Thanh Hoa,Thanh Hoa,Vietnam"
"Ha Tinh,Ha Tinh,Vietnam"
"Vinh,Nghe An,Vietnam"
"Djong Ha,Quang Tri Province,Vietnam"
"Hue,Thua Thien Hue,Vietnam"
"Djong Hoi,Quang Binh Province,Vietnam"
"Kon Tum,Kon Tum Province,Vietnam"
"Pleiku,Gia Lai,Vietnam"
"Qui Nhon,Binh Dinh Province,Vietnam"
"Tuy Hoa,Phu Yen Province,Vietnam"
"Phan Rang‚ÄìThap Cham,Ninh Thuan Province,Vietnam"
"Dalat,Lam Djong,Vietnam"
"Buon Ma Thuot,Djak Lak Province,Vietnam"
"Bien Hoa,Dong Nai,Vietnam"
"Phan Thiet,Binh Thuan Province,Vietnam"
"Rach Gia,Kien Giang,Vietnam"
"AS-AT LARGE,American Samoa"
"PR-AT LARGE,Puerto Rico"
"VI-AT LARGE,U.S. Virgin Islands"
"Grozny,Chechnya,Russia"
"Cheboksary,Chuvashia Republic,Russia"
"Gorno-Altaysk,Altai Republic,Russia"
"Chita,Zabaykalsky Krai,Russia"
"Obera,Misiones Province,Argentina"
"Del Viso,Jose C. Paz,Buenos Aires Province,Argentina"
"Canada de Gomez,Santa Fe Province,Argentina"
"Cipolletti,Rio Negro,Argentina"
"Cutral Co,Neuquen,Argentina"
"El Calafate,Santa Cruz Province,Argentina"
"Abu Dhabi,United Arab Emirates"
"Darwin International Airport,Northern Territory,Australia"
"Hobart International Airport,Tasmania,Australia"
"Halifax Stanfield International Airport,Nova Scotia,Canada"
"Montreal-Pierre Elliott Trudeau International Airport,Quebec,Canada"
"Suvarnabhumi Airport,Samut Prakan,Thailand"
"Udon Thani International Airport,Udon Thani,Thailand"
"Taipei Songshan Airport,Taipei City,Taiwan"
"Kaohsiung International Airport,Kaohsiung City,Taiwan"
"Taichung International Airport,Taichung City,Taiwan"
"Province of Madrid,Madrid,Spain"
"Province of Murcia,Murcia,Spain"
"Arendal Municipality,Agder,Norway"
"Fujairah,Fujairah,United Arab Emirates"
"Sharjah,Sharjah,United Arab Emirates"
"Villaguay,Entre Rios,Argentina"
"Balchik,Dobrich Province,Bulgaria"
"Provadia,Varna,Bulgaria"
"Troyan,Lovec,Bulgaria"
"Tryavna,Gabrovo,Bulgaria"
"Campbellton,New Brunswick,Canada"
"Dawson City,Yukon,Canada"
"Hay River,Northwest Territories,Canada"
"La Sarre,Abitibi-OuestQuebec,Canada"
"Martensville,Saskatchewan,Canada"
"Arica,Arica y Parinacota,Chile"
"Coyhaique,Aysen,Chile"
"Copiapo,Atacama,Chile"
"Roztoky,Praha-zapad,Central Bohemian Region,Czechia"
"Berg,Upper Palatinate,Bavaria,Germany"
"Furth,Middle Franconia,Bavaria,Germany"
"Neustadt,Neuwied,Rhineland-Palatinate,Germany"
"Taufkirchen,Munich,Bavaria,Germany"
"Thorso, Denmark,Central Denmark Region,Denmark"
"Mayenne,Mayenne,Pays de la Loire,France"
"Ashford,Surrey,England,United Kingdom"
"Longstanton,South Cambridgeshire District,England,United Kingdom"
"Royston,Hertfordshire,England,United Kingdom"
"Woodley,Woodley,England,United Kingdom"
"Cakovec,Medjimurje County,Croatia"
"Barletta,Barletta,Apulia,Italy"
"Carbonia,Carbonia,Sardinia,Italy"
"Castellana Grotte,Castellana Grotte,Apulia,Italy"
"Cesano Maderno,Cesano Maderno,Lombardy,Italy"
"Fiumicino,Fiumicino,Lazio,Italy"
"Montecatini Terme,Montecatini Terme,Tuscany,Italy"
"Montecchio Maggiore,Montecchio Maggiore,Veneto,Italy"
"Ixmiquilpan,Ixmiquilpan,Hidalgo,Mexico"
"Navojoa,Navojoa,Sonora,Mexico"
"Tampico,Tampico,Tamaulipas,Mexico"
"Tantoyuca,Tantoyuca,Veracruz,Mexico"
"San Juan Bautista Tuxtepec,San Juan Bautista Tuxtepec,Oaxaca,Mexico"
"Asten,Asten,North Brabant,Netherlands"
"Beek,Beek,Limburg,Netherlands"
"Beesel,Beesel,Limburg,Netherlands"
"Bergeijk,Bergeijk,North Brabant,Netherlands"
"Bergen op Zoom,Bergen op Zoom,North Brabant,Netherlands"
"Boekel,Boekel,North Brabant,Netherlands"
"Eemnes,Eemnes,Utrecht,Netherlands"
"Geertruidenberg,Geertruidenberg,North Brabant,Netherlands"
"Gennep,Gennep,Limburg,Netherlands"
"Groesbeek,Groesbeek,Gelderland,Netherlands"
"Grootegast,Grootegast,Groningen,Netherlands"
"Haaren,Haaren,North Brabant,Netherlands"
"Hardinxveld-Giessendam,Hardinxveld-Giessendam,South Holland,Netherlands"
"Heerde,Heerde,Gelderland,Netherlands"
"Hellendoorn,Hellendoorn,Overijssel,Netherlands"
"Heusden,Heusden,North Brabant,Netherlands"
"Hilvarenbeek,Hilvarenbeek,North Brabant,Netherlands"
"Hulst,Hulst,Zeeland,Netherlands"
"Loon op Zand,Loon op Zand,North Brabant,Netherlands"
"Loppersum,Loppersum,Groningen,Netherlands"
"Margraten,Margraten,Limburg,Netherlands"
"Marum,Marum,Groningen,Netherlands"
"Meerssen,Meerssen,Limburg,Netherlands"
"Nieuwkoop,Nieuwkoop,South Holland,Netherlands"
"Noordwijk,Noordwijk,South Holland,Netherlands"
"Oldebroek,Oldebroek,Gelderland,Netherlands"
"Oost-, West- en Middelbeers,North Brabant,Netherlands"
"Renswoude,Renswoude,Utrecht,Netherlands"
"Rozenburg,Government of Rotterdam,South Holland,Netherlands"
"Rucphen,Rucphen,North Brabant,Netherlands"
"Schagen,Schagen,North Holland,Netherlands"
"Sint Anthonis,Sint Anthonis,North Brabant,Netherlands"
"Sint-Michielsgestel,Sint-Michielsgestel,North Brabant,Netherlands"
"Strijen,Strijen,South Holland,Netherlands"
"Ten Boer,Ten Boer,Groningen,Netherlands"
"Tholen,Tholen,Zeeland,Netherlands"
"Tynaarlo,Tynaarlo,Drenthe,Netherlands"
"Vaals,Vaals,Limburg,Netherlands"
"Voerendaal,Voerendaal,Limburg,Netherlands"
"Westervoort,Westervoort,Gelderland,Netherlands"
"Wierden,Wierden,Overijssel,Netherlands"
"Zoeterwoude,Zoeterwoude,South Holland,Netherlands"
"Zuidhorn,Zuidhorn,Groningen,Netherlands"
"Greymouth,West Coast,New Zealand"
"Kyzyl,Tuva Republic,Russia"
"Naryan-Mar,Nenets Autonomous Okrug,Russia"
"Nazran,Ingushetia,Russia"
"Aston,Aston,Pennsylvania,United States"
"Bainbridge,Geauga County,Ohio,United States"
"Bear Creek,Hays County,Texas,United States"
"Carmel,Carmel,New York,United States"
"Fairview,Dutchess County,New York,United States"
"Franklin,Gloucester County,New Jersey,United States"
"Haverford,Haverford,Pennsylvania,United States"
"Highland Village,Denton County,Texas,United States"
"Live Oak,Santa Cruz County,California,United States"
"Middletown,Northampton County,Pennsylvania,United States"
"Oakwood,Montgomery County,Ohio,United States"
"Queensbury,Queensbury,New York,United States"
"Southbridge,Southbridge,Massachusetts,United States"
"Tonawanda,Erie County,New York,United States"
"Tuckahoe,Suffolk County,New York,United States"
"Vineyard,Sacramento County,California,United States"
"Washington Township,Morris County,New Jersey,United States"
"Washington Township,Warren County,New Jersey,United States"
"Westchester,Miami-Dade County,Florida,United States"
"Ca Mau,Ca Mau,Vietnam"
"Can Tho,Can Tho,Vietnam"
"Ha Giang,Ha Giang,Vietnam"
"Lang Son,Lang Son,Vietnam"
"Soc Trang,Soc Trang,Vietnam"
"Hoi An,Quang Nam Province,Vietnam"
"Tra Vinh,Tra Vinh,Vietnam"
"Tuyen Quang,Tuyen Quang,Vietnam"
"Vi Thanh,Hau Giang,Vietnam"
"Bengkulu,Bengkulu,Indonesia"
"Gorontalo,Gorontalo,Indonesia"
"Pontianak,West Kalimantan,Indonesia"
"Palangkaraya,Central Kalimantan,Indonesia"
"Pangkal Pinang,Bangka Belitung Islands,Indonesia"
"Batam,Riau Islands,Indonesia"
"Bandar Lampung,Lampung,Indonesia"
"Teluk Ambon,Maluku,Indonesia"
"Mataram,West Nusa Tenggara,Indonesia"
"Kupang,East Nusa Tenggara,Indonesia"
"Jayapura,Papua,Indonesia"
"Makassar,South Sulawesi,Indonesia"
"Palu,Central Sulawesi,Indonesia"
"Kendari,South East Sulawesi,Indonesia"
"Bitung,North Sulawesi,Indonesia"
"Bukittinggi,West Sumatra,Indonesia"
"Adiyaman,Adiyaman,Turkey"
"Agri,Agri,Turkey"
"Akcakoca,Duzce,Turkey"
"Aksaray,Aksaray,Turkey"
"Amasra,Bartin,Turkey"
"Amasya,Amasya,Turkey"
"Ardahan,Ardahan,Turkey"
"Ardesen,Rize,Turkey"
"Artvin,Artvin,Turkey"
"Avanos,Nevsehir,Turkey"
"Batman,Batman,Turkey"
"Bayburt,Bayburt,Turkey"
"Bilecik,Bilecik,Turkey"
"Bingol,Bingol,Turkey"
"Bitlis,Bitlis,Turkey"
"Bucak,Burdur,Turkey"
"Bulancak,Giresun,Turkey"
"Cankiri,Cankiri,Turkey"
"Cizre,Sirnak,Turkey"
"Corum,Corum,Turkey"
"Denizli,Denizli,Turkey"
"Edirne,Edirne,Turkey"
"Fatsa,Ordu,Turkey"
"Gumushane,Gumushane,Turkey"
"Antakya,Antakya,Hatay,Turkey"
"Igdir,Igdir,Turkey"
"Kadirli,Osmaniye,Turkey"
"Karabuk,Karabuk,Turkey"
"Kastamonu,Kastamonu,Turkey"
"Kilis,Kilis,Turkey"
"Kirklareli,Kirklareli,Turkey"
"Kirsehir,Kirsehir,Turkey"
"Kiziltepe,Mardin,Turkey"
"Mus,Mus,Turkey"
"Sakarya,Sakarya,Turkey"
"Siirt,Siirt,Turkey"
"Sinop,Sinop,Turkey"
"Siverek,Sanliurfa,Turkey"
"Tunceli,Tunceli,Turkey"
"Usak,Usak,Turkey"
"Yalova,Yalova,Turkey"
"Geelong,Geelong,Victoria,Australia"
"Luis Munoz Marin International Airport,Carolina,Puerto Rico"
"Hong Kong International Airport,New Territories,Hong Kong"
"Singapore Changi Airport,Singapore"
"University of Minnesota,Hennepin County,Minnesota,United States"
"Texas A&M University,Brazos County,Texas,United States"
"University of Florida,Alachua County,Florida,United States"
"Michigan State University,Ingham County,Michigan,United States"
"University of California, Los Angeles,California,United States"
"California State University, Northridge,California,United States"
"California State University, Fullerton,California,United States"
"University of California, Berkeley,California,United States"
"University of Maryland,Prince George's County,Maryland,United States"
"University of Missouri,Boone County,Missouri,United States"
"University of Cincinnati,Hamilton County,Ohio,United States"
"Texas Tech University,Lubbock County,Texas,United States"
"University of California, Davis,California,United States"
"Wayne State University,Wayne County,Michigan,United States"
"University of Tennessee,Knox County,Tennessee,United States"
"Iowa State University,Story County,Iowa,United States"
"Louisiana State University,East Baton Rouge Parish,Louisiana,United States"
"Central Michigan University,Isabella County,Michigan,United States"
"California State University, Sacramento,California,United States"
"The University of Akron,Summit County,Ohio,United States"
"University of Nevada, Las Vegas,Nevada,United States"
"Washington State University,Whitman County,Washington,United States"
"University of Kentucky,Fayette County,Kentucky,United States"
"Columbia University,New York County,New York,United States"
"Ohio University,Athens County,Ohio,United States"
"Northern Arizona University,Coconino County,Arizona,United States"
"Western Michigan University,Kalamazoo County,Michigan,United States"
"Oregon State University,Benton County,Oregon,United States"
"University of Virginia,Albemarle County,Virginia,United States"
"Kansas State University,Riley County,Kansas,United States"
"Eastern Michigan University,Washtenaw County,Michigan,United States"
"California State University, Fresno,California,United States"
"University of California, Santa Barbara,California,United States"
"Cornell University,Tompkins County,New York,United States"
"University of California, Riverside,California,United States"
"Mississippi State University,Oktibbeha County,Mississippi,United States"
"University of Nevada, Reno,Nevada,United States"
"Eastern Kentucky University,Madison County,Kentucky,United States"
"Minnesota State University, Mankato,Minnesota,United States"
"Southeastern Louisiana University,Tangipahoa Parish,Louisiana,United States"
"University of Puerto Rico - Rio Piedras Campus,San Juan,Puerto Rico"
"University of New Hampshire,Strafford County,New Hampshire,United States"
"Ferris State University,Mecosta County,Michigan,United States"
"Youngstown State University,Mahoning County,Ohio,United States"
"University of South Alabama,Mobile County,Alabama,United States"
"La Trobe University, Melbourne Campus,Victoria,Australia"
"Princeton University,Mercer County,New Jersey,United States"
"Wake Forest University,Forsyth County,North Carolina,United States"
"Downtown,Baltimore County,Maryland,United States"
"Downtown,Cuyahoga County,Ohio,United States"
"Downtown,El Paso County,Colorado,United States"
"The Ohio State University,Columbus,Ohio,United States"
"Downtown,Franklin County,Ohio,United States"
"Downtown,Fresno County,California,United States"
"Downtown,Glendale,Los Angeles County,California,United States"
"Downtown,Kent County,Michigan,United States"
"Downtown,Duval County,Florida,United States"
"Downtown,Long Beach,Los Angeles County,California,United States"
"Downtown,Norfolk,Virginia,United States"
"Downtown,Richmond,Virginia,United States"
"Civic Center,San Francisco County,California,United States"
"Downtown,Santa Monica,Los Angeles County,California,United States"
"Downtown,Sangamon County,Illinois,United States"
"Downtown,Pinellas County,Florida,United States"
"Downtown,Hillsborough County,Florida,United States"
"Downtown,Wake County,North Carolina,United States"
"Downtown,Sarasota County,Florida,United States"
"Downtown,Kern County,California,United States"
"Downtown,Bridgeport,Fairfield County,Connecticut,United States"
"Downtown,Durham County,North Carolina,United States"
"Downtown,Kane County,Illinois,United States"
"Downtown,Genesee County,Michigan,United States"
"Downtown,Frederick County,Maryland,United States"
"Downtown,Hartford County,Connecticut,United States"
"Newport,King County,Washington,United States"
"Downtown,Middlesex County,Massachusetts,United States"
"Downtown,New Haven County,Connecticut,United States"
"Downtown,Thurston County,Washington,United States"
"Downtown,Douglas County,Colorado,United States"
"Downtown,Shasta County,California,United States"
"Downtown,Stamford,Fairfield County,Connecticut,United States"
"Innenstadt,Bochum,North Rhine-Westphalia,Germany"
"Nordstadt,Cologne,North Rhine-Westphalia,Germany"
"Nordstadt,Wuppertal,North Rhine-Westphalia,Germany"
"Downtown,Calgary,Alberta,Canada"
"Downtown,Edmonton,Alberta,Canada"
"Adelaide,Adelaide,South Australia,Australia"
"Ballarat,Ballarat,Victoria,Australia"
"Brisbane,Brisbane,Queensland,Australia"
"Ipswich,Ipswich,Queensland,Australia"
"Cairns,Cairns,Queensland,Australia"
"Canberra,Canberra,Australian Capital Territory,Australia"
"Hobart,Hobart,Tasmania,Australia"
"Launceston,Launceston,Tasmania,Australia"
"Mackay,Mackay,Queensland,Australia"
"Melbourne,Melbourne,Victoria,Australia"
"Newcastle,Newcastle,New South Wales,Australia"
